,Subject,# of papers,1950Male (1),1950female1 (1),1950Proportion1 (1),1950Male (2),1950female (2),1950Proportion (2),1950Male (3),1950female (3),1950Proportion (3),,,,,,,,,,,,
0,AGRI,31259,19665,4365,18.16,46809,10466,11.85,26000,5042,16.24,,,,,,,,,,,,
1,CHEM,14139,8690,1848,17.54,20526,4457,11.44,11773,2192,15.7,,,,,,,,,,,,
2,IMMU,2378,1301,272,17.29,3488,894,13.28,1837,515,21.9,,,,,,,,,,,,
3,MEDI,39815,27108,6090,18.34,50121,16425,15.46,28823,10881,27.41,,,,,,,,,,,,
4,DENT,388,187,54,22.41,541,139,13.09,303,79,20.68,,,,,,,,,,,,
5,MATH,6682,3667,802,17.95,7965,2073,12.55,5141,1340,20.68,,,,Subject,Male,Female,,,,Subject,Male,Female
6,ENGI,14961,8655,1916,18.13,19654,3905,10.16,12806,2077,13.96,,,,AGRI,46809,10466,,,,MEDI,50121,16425
7,BIOC,13760,7301,1654,18.47,19866,4956,12.91,10913,2662,19.61,,,,CHEM,20526,4457,,,,,,
8,ARTS,1844,1121,297,20.94,1604,1127,24.65,899,942,51.17,,,,IMMU,3488,894,,,,,,
9,COMP,25264,15317,3504,18.62,32743,6357,9.89,21701,3448,13.71,,,,MEDI,50121,16425,,,,,,
10,VETE,898,612,131,17.63,1618,305,10.83,781,112,12.54,,,,DENT,541,139,,,,,,
11,PHYS,7293,4284,1049,19.67,9206,1981,10.75,6064,1180,16.29,,,,MATH,7965,2073,,,,,,
12,ENER,4290,2192,491,18.3,5940,1150,10.13,3659,600,14.09,,,,ENGI,19654,3905,,,,,,
13,PHAR,4791,3298,738,18.29,7834,2137,14.52,3697,1053,22.17,,,,BIOC,19866,4956,,,,,,
14,MATE,3787,2120,482,18.52,5686,1034,9.86,3342,423,11.24,,,,ARTS,1604,1127,,,,,,
15,CENG,6975,3569,827,18.81,9873,2093,11.1,5848,1042,15.12,,,,COMP,32743,6357,,,,,,
16,EART,4211,2146,476,18.15,5450,1310,11.98,3368,807,19.33,,,,VETE,1618,305,,,,,,
17,ENVI,4745,2424,507,17.3,6993,1773,13.17,3782,914,19.46,,,,PHYS,9206,1981,,,,,,
18,BUSI,4829,2675,673,20.1,5895,1801,14.4,3609,1199,24.94,,,,ENER,5940,1150,,,,,,
19,SOCI,3664,2531,552,17.9,3042,2157,24.35,1792,1867,51.02,,,,PHAR,7834,2137,,,,,,
20,MULT,3916,2450,546,18.22,5082,1241,12.14,3163,737,18.9,,,,MATE,5686,1034,,,,,,
21,ECON,1679,899,214,19.23,1881,709,16.67,1151,513,30.83,,,,CENG,9873,2093,,,,,,
22,DECI,653,404,75,15.66,814,219,13.03,506,142,21.91,,,,EART,5450,1310,,,,,,
23,NURS,1426,1062,241,18.5,1278,649,19.37,898,526,36.94,,,,ENVI,6993,1773,,,,,,
24,HEAL,602,347,69,16.59,881,252,14.57,440,157,26.3,,,,BUSI,5895,1801,,,,,,
25,PSYC,617,362,89,19.73,527,378,24.9,307,306,49.92,,,,SOCI,3042,2157,,,,,,
26,undefined,112,79,20,20.2,134,43,14.98,84,26,23.64,,,,MULT,5082,1241,,,,,,
27,NEUR,290,124,25,16.78,373,106,13.84,219,68,23.69,,,,ECON,1881,709,,,,,,
,,,,,,,,,,,,,,,DECI,814,219,,,,,,
,,,,,,,,,,,,,,,NURS,1278,649,,,,,,
,,,,,,,,,,,,,,,HEAL,881,252,,,,,,
,,,,,,,,,,,,,,,PSYC,527,378,,,,,,
,,,,,,,,,,,,,,,,134,43,,,,,,
,,,,,,,,,,,,,,,,373,106,,,,,,
